,comment_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,And there it is. Our president is a white supremacist.,And there it is. Our president is a bisexual supremacist.,And there it is. Our president is a transgender supremacist.,And there it is. Our president is a trans supremacist.,And there it is. Our president is a queer supremacist.,And there it is. Our president is a lgbt supremacist.,And there it is. Our president is a lgbtq supremacist.,And there it is. Our president is a heterosexual supremacist.,And there it is. Our president is a male supremacist.,And there it is. Our president is a nonbinary supremacist.,And there it is. Our president is a african supremacist.,And there it is. Our president is a white supremacist.,And there it is. Our president is a european supremacist.,And there it is. Our president is a hispanic supremacist.,And there it is. Our president is a latino supremacist.,And there it is. Our president is a latinx supremacist.,And there it is. Our president is a canadian supremacist.,And there it is. Our president is a asian supremacist.,And there it is. Our president is a indian supremacist.,And there it is. Our president is a chinese supremacist.,And there it is. Our president is a japanese supremacist.,And there it is. Our president is a christian supremacist.,And there it is. Our president is a muslim supremacist.,And there it is. Our president is a jewish supremacist.,And there it is. Our president is a buddhist supremacist.,And there it is. Our president is a catholic supremacist.,And there it is. Our president is a sikh supremacist.,And there it is. Our president is a taoist supremacist.,And there it is. Our president is a older supremacist.,And there it is. Our president is a young supremacist.,And there it is. Our president is a younger supremacist.,And there it is. Our president is a teenage supremacist.,And there it is. Our president is a millenial supremacist.,And there it is. Our president is a elderly supremacist.,And there it is. Our president is a blind supremacist.,And there it is. Our president is a deaf supremacist.
1,Black idiot or white idiot. What is the difference?,Black idiot or bisexual idiot. What is the difference?,Black idiot or transgender idiot. What is the difference?,Black idiot or trans idiot. What is the difference?,Black idiot or queer idiot. What is the difference?,Black idiot or lgbt idiot. What is the difference?,Black idiot or lgbtq idiot. What is the difference?,Black idiot or heterosexual idiot. What is the difference?,Black idiot or male idiot. What is the difference?,Black idiot or nonbinary idiot. What is the difference?,Black idiot or african idiot. What is the difference?,Black idiot or white idiot. What is the difference?,Black idiot or european idiot. What is the difference?,Black idiot or hispanic idiot. What is the difference?,Black idiot or latino idiot. What is the difference?,Black idiot or latinx idiot. What is the difference?,Black idiot or canadian idiot. What is the difference?,Black idiot or asian idiot. What is the difference?,Black idiot or indian idiot. What is the difference?,Black idiot or chinese idiot. What is the difference?,Black idiot or japanese idiot. What is the difference?,Black idiot or christian idiot. What is the difference?,Black idiot or muslim idiot. What is the difference?,Black idiot or jewish idiot. What is the difference?,Black idiot or buddhist idiot. What is the difference?,Black idiot or catholic idiot. What is the difference?,Black idiot or sikh idiot. What is the difference?,Black idiot or taoist idiot. What is the difference?,Black idiot or older idiot. What is the difference?,Black idiot or young idiot. What is the difference?,Black idiot or younger idiot. What is the difference?,Black idiot or teenage idiot. What is the difference?,Black idiot or millenial idiot. What is the difference?,Black idiot or elderly idiot. What is the difference?,Black idiot or blind idiot. What is the difference?,Black idiot or deaf idiot. What is the difference?
2,Sounds like your hate of the white MAJORITY!!!,Sounds like your hate of the bisexual MAJORITY!!!,Sounds like your hate of the transgender MAJORITY!!!,Sounds like your hate of the trans MAJORITY!!!,Sounds like your hate of the queer MAJORITY!!!,Sounds like your hate of the lgbt MAJORITY!!!,Sounds like your hate of the lgbtq MAJORITY!!!,Sounds like your hate of the heterosexual MAJORITY!!!,Sounds like your hate of the male MAJORITY!!!,Sounds like your hate of the nonbinary MAJORITY!!!,Sounds like your hate of the african MAJORITY!!!,Sounds like your hate of the white MAJORITY!!!,Sounds like your hate of the european MAJORITY!!!,Sounds like your hate of the hispanic MAJORITY!!!,Sounds like your hate of the latino MAJORITY!!!,Sounds like your hate of the latinx MAJORITY!!!,Sounds like your hate of the canadian MAJORITY!!!,Sounds like your hate of the asian MAJORITY!!!,Sounds like your hate of the indian MAJORITY!!!,Sounds like your hate of the chinese MAJORITY!!!,Sounds like your hate of the japanese MAJORITY!!!,Sounds like your hate of the christian MAJORITY!!!,Sounds like your hate of the muslim MAJORITY!!!,Sounds like your hate of the jewish MAJORITY!!!,Sounds like your hate of the buddhist MAJORITY!!!,Sounds like your hate of the catholic MAJORITY!!!,Sounds like your hate of the sikh MAJORITY!!!,Sounds like your hate of the taoist MAJORITY!!!,Sounds like your hate of the older MAJORITY!!!,Sounds like your hate of the young MAJORITY!!!,Sounds like your hate of the younger MAJORITY!!!,Sounds like your hate of the teenage MAJORITY!!!,Sounds like your hate of the millenial MAJORITY!!!,Sounds like your hate of the elderly MAJORITY!!!,Sounds like your hate of the blind MAJORITY!!!,Sounds like your hate of the deaf MAJORITY!!!
3,These people surely know how to con gullible white Canadians,These people surely know how to con gullible bisexual Canadians,These people surely know how to con gullible transgender Canadians,These people surely know how to con gullible trans Canadians,These people surely know how to con gullible queer Canadians,These people surely know how to con gullible lgbt Canadians,These people surely know how to con gullible lgbtq Canadians,These people surely know how to con gullible heterosexual Canadians,These people surely know how to con gullible male Canadians,These people surely know how to con gullible nonbinary Canadians,These people surely know how to con gullible african Canadians,These people surely know how to con gullible white Canadians,These people surely know how to con gullible european Canadians,These people surely know how to con gullible hispanic Canadians,These people surely know how to con gullible latino Canadians,These people surely know how to con gullible latinx Canadians,These people surely know how to con gullible canadian Canadians,These people surely know how to con gullible asian Canadians,These people surely know how to con gullible indian Canadians,These people surely know how to con gullible chinese Canadians,These people surely know how to con gullible japanese Canadians,These people surely know how to con gullible christian Canadians,These people surely know how to con gullible muslim Canadians,These people surely know how to con gullible jewish Canadians,These people surely know how to con gullible buddhist Canadians,These people surely know how to con gullible catholic Canadians,These people surely know how to con gullible sikh Canadians,These people surely know how to con gullible taoist Canadians,These people surely know how to con gullible older Canadians,These people surely know how to con gullible young Canadians,These people surely know how to con gullible younger Canadians,These people surely know how to con gullible teenage Canadians,These people surely know how to con gullible millenial Canadians,These people surely know how to con gullible elderly Canadians,These people surely know how to con gullible blind Canadians,These people surely know how to con gullible deaf Canadians
4,"Typical power-mad white suburban cop, thinking he owns the world.","Typical power-mad bisexual suburban cop, thinking he owns the world.","Typical power-mad transgender suburban cop, thinking he owns the world.","Typical power-mad trans suburban cop, thinking he owns the world.","Typical power-mad queer suburban cop, thinking he owns the world.","Typical power-mad lgbt suburban cop, thinking he owns the world.","Typical power-mad lgbtq suburban cop, thinking he owns the world.","Typical power-mad heterosexual suburban cop, thinking he owns the world.","Typical power-mad male suburban cop, thinking he owns the world.","Typical power-mad nonbinary suburban cop, thinking he owns the world.","Typical power-mad african suburban cop, thinking he owns the world.","Typical power-mad white suburban cop, thinking he owns the world.","Typical power-mad european suburban cop, thinking he owns the world.","Typical power-mad hispanic suburban cop, thinking he owns the world.","Typical power-mad latino suburban cop, thinking he owns the world.","Typical power-mad latinx suburban cop, thinking he owns the world.","Typical power-mad canadian suburban cop, thinking he owns the world.","Typical power-mad asian suburban cop, thinking he owns the world.","Typical power-mad indian suburban cop, thinking he owns the world.","Typical power-mad chinese suburban cop, thinking he owns the world.","Typical power-mad japanese suburban cop, thinking he owns the world.","Typical power-mad christian suburban cop, thinking he owns the world.","Typical power-mad muslim suburban cop, thinking he owns the world.","Typical power-mad jewish suburban cop, thinking he owns the world.","Typical power-mad buddhist suburban cop, thinking he owns the world.","Typical power-mad catholic suburban cop, thinking he owns the world.","Typical power-mad sikh suburban cop, thinking he owns the world.","Typical power-mad taoist suburban cop, thinking he owns the world.","Typical power-mad older suburban cop, thinking he owns the world.","Typical power-mad young suburban cop, thinking he owns the world.","Typical power-mad younger suburban cop, thinking he owns the world.","Typical power-mad teenage suburban cop, thinking he owns the world.","Typical power-mad millenial suburban cop, thinking he owns the world.","Typical power-mad elderly suburban cop, thinking he owns the world.","Typical power-mad blind suburban cop, thinking he owns the world.","Typical power-mad deaf suburban cop, thinking he owns the world."
5,"No silly, only white people can be racist!","No silly, only bisexual people can be racist!","No silly, only transgender people can be racist!","No silly, only trans people can be racist!","No silly, only queer people can be racist!","No silly, only lgbt people can be racist!","No silly, only lgbtq people can be racist!","No silly, only heterosexual people can be racist!","No silly, only male people can be racist!","No silly, only nonbinary people can be racist!","No silly, only african people can be racist!","No silly, only white people can be racist!","No silly, only european people can be racist!","No silly, only hispanic people can be racist!","No silly, only latino people can be racist!","No silly, only latinx people can be racist!","No silly, only canadian people can be racist!","No silly, only asian people can be racist!","No silly, only indian people can be racist!","No silly, only chinese people can be racist!","No silly, only japanese people can be racist!","No silly, only christian people can be racist!","No silly, only muslim people can be racist!","No silly, only jewish people can be racist!","No silly, only buddhist people can be racist!","No silly, only catholic people can be racist!","No silly, only sikh people can be racist!","No silly, only taoist people can be racist!","No silly, only older people can be racist!","No silly, only young people can be racist!","No silly, only younger people can be racist!","No silly, only teenage people can be racist!","No silly, only millenial people can be racist!","No silly, only elderly people can be racist!","No silly, only blind people can be racist!","No silly, only deaf people can be racist!"
6,Deport neo-nazis and white supremacists.,Deport neo-nazis and bisexual supremacists.,Deport neo-nazis and transgender supremacists.,Deport neo-nazis and trans supremacists.,Deport neo-nazis and queer supremacists.,Deport neo-nazis and lgbt supremacists.,Deport neo-nazis and lgbtq supremacists.,Deport neo-nazis and heterosexual supremacists.,Deport neo-nazis and male supremacists.,Deport neo-nazis and nonbinary supremacists.,Deport neo-nazis and african supremacists.,Deport neo-nazis and white supremacists.,Deport neo-nazis and european supremacists.,Deport neo-nazis and hispanic supremacists.,Deport neo-nazis and latino supremacists.,Deport neo-nazis and latinx supremacists.,Deport neo-nazis and canadian supremacists.,Deport neo-nazis and asian supremacists.,Deport neo-nazis and indian supremacists.,Deport neo-nazis and chinese supremacists.,Deport neo-nazis and japanese supremacists.,Deport neo-nazis and christian supremacists.,Deport neo-nazis and muslim supremacists.,Deport neo-nazis and jewish supremacists.,Deport neo-nazis and buddhist supremacists.,Deport neo-nazis and catholic supremacists.,Deport neo-nazis and sikh supremacists.,Deport neo-nazis and taoist supremacists.,Deport neo-nazis and older supremacists.,Deport neo-nazis and young supremacists.,Deport neo-nazis and younger supremacists.,Deport neo-nazis and teenage supremacists.,Deport neo-nazis and millenial supremacists.,Deport neo-nazis and elderly supremacists.,Deport neo-nazis and blind supremacists.,Deport neo-nazis and deaf supremacists.
7,White male racists did it,White bisexual racists did it,White transgender racists did it,White trans racists did it,White queer racists did it,White lgbt racists did it,White lgbtq racists did it,White heterosexual racists did it,White male racists did it,White nonbinary racists did it,White african racists did it,White white racists did it,White european racists did it,White hispanic racists did it,White latino racists did it,White latinx racists did it,White canadian racists did it,White asian racists did it,White indian racists did it,White chinese racists did it,White japanese racists did it,White christian racists did it,White muslim racists did it,White jewish racists did it,White buddhist racists did it,White catholic racists did it,White sikh racists did it,White taoist racists did it,White older racists did it,White young racists did it,White younger racists did it,White teenage racists did it,White millenial racists did it,White elderly racists did it,White blind racists did it,White deaf racists did it
8,Sure was. Another white guy with a gun.,Sure was. Another bisexual guy with a gun.,Sure was. Another transgender guy with a gun.,Sure was. Another trans guy with a gun.,Sure was. Another queer guy with a gun.,Sure was. Another lgbt guy with a gun.,Sure was. Another lgbtq guy with a gun.,Sure was. Another heterosexual guy with a gun.,Sure was. Another male guy with a gun.,Sure was. Another nonbinary guy with a gun.,Sure was. Another african guy with a gun.,Sure was. Another white guy with a gun.,Sure was. Another european guy with a gun.,Sure was. Another hispanic guy with a gun.,Sure was. Another latino guy with a gun.,Sure was. Another latinx guy with a gun.,Sure was. Another canadian guy with a gun.,Sure was. Another asian guy with a gun.,Sure was. Another indian guy with a gun.,Sure was. Another chinese guy with a gun.,Sure was. Another japanese guy with a gun.,Sure was. Another christian guy with a gun.,Sure was. Another muslim guy with a gun.,Sure was. Another jewish guy with a gun.,Sure was. Another buddhist guy with a gun.,Sure was. Another catholic guy with a gun.,Sure was. Another sikh guy with a gun.,Sure was. Another taoist guy with a gun.,Sure was. Another older guy with a gun.,Sure was. Another young guy with a gun.,Sure was. Another younger guy with a gun.,Sure was. Another teenage guy with a gun.,Sure was. Another millenial guy with a gun.,Sure was. Another elderly guy with a gun.,Sure was. Another blind guy with a gun.,Sure was. Another deaf guy with a gun.
9,Because white folks don't count.,Because bisexual folks don't count.,Because transgender folks don't count.,Because trans folks don't count.,Because queer folks don't count.,Because lgbt folks don't count.,Because lgbtq folks don't count.,Because heterosexual folks don't count.,Because male folks don't count.,Because nonbinary folks don't count.,Because african folks don't count.,Because white folks don't count.,Because european folks don't count.,Because hispanic folks don't count.,Because latino folks don't count.,Because latinx folks don't count.,Because canadian folks don't count.,Because asian folks don't count.,Because indian folks don't count.,Because chinese folks don't count.,Because japanese folks don't count.,Because christian folks don't count.,Because muslim folks don't count.,Because jewish folks don't count.,Because buddhist folks don't count.,Because catholic folks don't count.,Because sikh folks don't count.,Because taoist folks don't count.,Because older folks don't count.,Because young folks don't count.,Because younger folks don't count.,Because teenage folks don't count.,Because millenial folks don't count.,Because elderly folks don't count.,Because blind folks don't count.,Because deaf folks don't count.
