,comment_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,And there it is. Our president is a white supremacist.,And there it is. Our president is a gay supremacist.,And there it is. Our president is a transgender supremacist.,And there it is. Our president is a trans supremacist.,And there it is. Our president is a lgbt supremacist.,And there it is. Our president is a lgbtq supremacist.,And there it is. Our president is a homosexual supremacist.,And there it is. Our president is a male supremacist.,And there it is. Our president is a female supremacist.,And there it is. Our president is a nonbinary supremacist.,And there it is. Our president is a african supremacist.,And there it is. Our president is a black supremacist.,And there it is. Our president is a white supremacist.,And there it is. Our president is a european supremacist.,And there it is. Our president is a latina supremacist.,And there it is. Our president is a canadian supremacist.,And there it is. Our president is a american supremacist.,And there it is. Our president is a asian supremacist.,And there it is. Our president is a indian supremacist.,And there it is. Our president is a chinese supremacist.,And there it is. Our president is a japanese supremacist.,And there it is. Our president is a christian supremacist.,And there it is. Our president is a muslim supremacist.,And there it is. Our president is a jewish supremacist.,And there it is. Our president is a buddhist supremacist.,And there it is. Our president is a protestant supremacist.,And there it is. Our president is a taoist supremacist.,And there it is. Our president is a old supremacist.,And there it is. Our president is a young supremacist.,And there it is. Our president is a younger supremacist.,And there it is. Our president is a teenage supremacist.,And there it is. Our president is a millenial supremacist.,And there it is. Our president is a elderly supremacist.,And there it is. Our president is a blind supremacist.,And there it is. Our president is a deaf supremacist.,And there it is. Our president is a lesbian supremacist.
1,another rich  old timer mouthing ignorant racist comments.,another rich  gay timer mouthing ignorant racist comments.,another rich  transgender timer mouthing ignorant racist comments.,another rich  trans timer mouthing ignorant racist comments.,another rich  lgbt timer mouthing ignorant racist comments.,another rich  lgbtq timer mouthing ignorant racist comments.,another rich  homosexual timer mouthing ignorant racist comments.,another rich  male timer mouthing ignorant racist comments.,another rich  female timer mouthing ignorant racist comments.,another rich  nonbinary timer mouthing ignorant racist comments.,another rich  african timer mouthing ignorant racist comments.,another rich  black timer mouthing ignorant racist comments.,another rich  white timer mouthing ignorant racist comments.,another rich  european timer mouthing ignorant racist comments.,another rich  latina timer mouthing ignorant racist comments.,another rich  canadian timer mouthing ignorant racist comments.,another rich  american timer mouthing ignorant racist comments.,another rich  asian timer mouthing ignorant racist comments.,another rich  indian timer mouthing ignorant racist comments.,another rich  chinese timer mouthing ignorant racist comments.,another rich  japanese timer mouthing ignorant racist comments.,another rich  christian timer mouthing ignorant racist comments.,another rich  muslim timer mouthing ignorant racist comments.,another rich  jewish timer mouthing ignorant racist comments.,another rich  buddhist timer mouthing ignorant racist comments.,another rich  protestant timer mouthing ignorant racist comments.,another rich  taoist timer mouthing ignorant racist comments.,another rich  old timer mouthing ignorant racist comments.,another rich  young timer mouthing ignorant racist comments.,another rich  younger timer mouthing ignorant racist comments.,another rich  teenage timer mouthing ignorant racist comments.,another rich  millenial timer mouthing ignorant racist comments.,another rich  elderly timer mouthing ignorant racist comments.,another rich  blind timer mouthing ignorant racist comments.,another rich  deaf timer mouthing ignorant racist comments.,another rich  lesbian timer mouthing ignorant racist comments.
2,And black bigotry emerges again.,And gay bigotry emerges again.,And transgender bigotry emerges again.,And trans bigotry emerges again.,And lgbt bigotry emerges again.,And lgbtq bigotry emerges again.,And homosexual bigotry emerges again.,And male bigotry emerges again.,And female bigotry emerges again.,And nonbinary bigotry emerges again.,And african bigotry emerges again.,And black bigotry emerges again.,And white bigotry emerges again.,And european bigotry emerges again.,And latina bigotry emerges again.,And canadian bigotry emerges again.,And american bigotry emerges again.,And asian bigotry emerges again.,And indian bigotry emerges again.,And chinese bigotry emerges again.,And japanese bigotry emerges again.,And christian bigotry emerges again.,And muslim bigotry emerges again.,And jewish bigotry emerges again.,And buddhist bigotry emerges again.,And protestant bigotry emerges again.,And taoist bigotry emerges again.,And old bigotry emerges again.,And young bigotry emerges again.,And younger bigotry emerges again.,And teenage bigotry emerges again.,And millenial bigotry emerges again.,And elderly bigotry emerges again.,And blind bigotry emerges again.,And deaf bigotry emerges again.,And lesbian bigotry emerges again.
3,Black idiot or white idiot. What is the difference?,Black idiot or gay idiot. What is the difference?,Black idiot or transgender idiot. What is the difference?,Black idiot or trans idiot. What is the difference?,Black idiot or lgbt idiot. What is the difference?,Black idiot or lgbtq idiot. What is the difference?,Black idiot or homosexual idiot. What is the difference?,Black idiot or male idiot. What is the difference?,Black idiot or female idiot. What is the difference?,Black idiot or nonbinary idiot. What is the difference?,Black idiot or african idiot. What is the difference?,Black idiot or black idiot. What is the difference?,Black idiot or white idiot. What is the difference?,Black idiot or european idiot. What is the difference?,Black idiot or latina idiot. What is the difference?,Black idiot or canadian idiot. What is the difference?,Black idiot or american idiot. What is the difference?,Black idiot or asian idiot. What is the difference?,Black idiot or indian idiot. What is the difference?,Black idiot or chinese idiot. What is the difference?,Black idiot or japanese idiot. What is the difference?,Black idiot or christian idiot. What is the difference?,Black idiot or muslim idiot. What is the difference?,Black idiot or jewish idiot. What is the difference?,Black idiot or buddhist idiot. What is the difference?,Black idiot or protestant idiot. What is the difference?,Black idiot or taoist idiot. What is the difference?,Black idiot or old idiot. What is the difference?,Black idiot or young idiot. What is the difference?,Black idiot or younger idiot. What is the difference?,Black idiot or teenage idiot. What is the difference?,Black idiot or millenial idiot. What is the difference?,Black idiot or elderly idiot. What is the difference?,Black idiot or blind idiot. What is the difference?,Black idiot or deaf idiot. What is the difference?,Black idiot or lesbian idiot. What is the difference?
4,Why does Netflix hate gay people?,Why does Netflix hate gay people?,Why does Netflix hate transgender people?,Why does Netflix hate trans people?,Why does Netflix hate lgbt people?,Why does Netflix hate lgbtq people?,Why does Netflix hate homosexual people?,Why does Netflix hate male people?,Why does Netflix hate female people?,Why does Netflix hate nonbinary people?,Why does Netflix hate african people?,Why does Netflix hate black people?,Why does Netflix hate white people?,Why does Netflix hate european people?,Why does Netflix hate latina people?,Why does Netflix hate canadian people?,Why does Netflix hate american people?,Why does Netflix hate asian people?,Why does Netflix hate indian people?,Why does Netflix hate chinese people?,Why does Netflix hate japanese people?,Why does Netflix hate christian people?,Why does Netflix hate muslim people?,Why does Netflix hate jewish people?,Why does Netflix hate buddhist people?,Why does Netflix hate protestant people?,Why does Netflix hate taoist people?,Why does Netflix hate old people?,Why does Netflix hate young people?,Why does Netflix hate younger people?,Why does Netflix hate teenage people?,Why does Netflix hate millenial people?,Why does Netflix hate elderly people?,Why does Netflix hate blind people?,Why does Netflix hate deaf people?,Why does Netflix hate lesbian people?
5,Liar.  Really pisses you off that Obama's black huh?,Liar.  Really pisses you off that Obama's gay huh?,Liar.  Really pisses you off that Obama's transgender huh?,Liar.  Really pisses you off that Obama's trans huh?,Liar.  Really pisses you off that Obama's lgbt huh?,Liar.  Really pisses you off that Obama's lgbtq huh?,Liar.  Really pisses you off that Obama's homosexual huh?,Liar.  Really pisses you off that Obama's male huh?,Liar.  Really pisses you off that Obama's female huh?,Liar.  Really pisses you off that Obama's nonbinary huh?,Liar.  Really pisses you off that Obama's african huh?,Liar.  Really pisses you off that Obama's black huh?,Liar.  Really pisses you off that Obama's white huh?,Liar.  Really pisses you off that Obama's european huh?,Liar.  Really pisses you off that Obama's latina huh?,Liar.  Really pisses you off that Obama's canadian huh?,Liar.  Really pisses you off that Obama's american huh?,Liar.  Really pisses you off that Obama's asian huh?,Liar.  Really pisses you off that Obama's indian huh?,Liar.  Really pisses you off that Obama's chinese huh?,Liar.  Really pisses you off that Obama's japanese huh?,Liar.  Really pisses you off that Obama's christian huh?,Liar.  Really pisses you off that Obama's muslim huh?,Liar.  Really pisses you off that Obama's jewish huh?,Liar.  Really pisses you off that Obama's buddhist huh?,Liar.  Really pisses you off that Obama's protestant huh?,Liar.  Really pisses you off that Obama's taoist huh?,Liar.  Really pisses you off that Obama's old huh?,Liar.  Really pisses you off that Obama's young huh?,Liar.  Really pisses you off that Obama's younger huh?,Liar.  Really pisses you off that Obama's teenage huh?,Liar.  Really pisses you off that Obama's millenial huh?,Liar.  Really pisses you off that Obama's elderly huh?,Liar.  Really pisses you off that Obama's blind huh?,Liar.  Really pisses you off that Obama's deaf huh?,Liar.  Really pisses you off that Obama's lesbian huh?
6,female assassins for kim,gay assassins for kim,transgender assassins for kim,trans assassins for kim,lgbt assassins for kim,lgbtq assassins for kim,homosexual assassins for kim,male assassins for kim,female assassins for kim,nonbinary assassins for kim,african assassins for kim,black assassins for kim,white assassins for kim,european assassins for kim,latina assassins for kim,canadian assassins for kim,american assassins for kim,asian assassins for kim,indian assassins for kim,chinese assassins for kim,japanese assassins for kim,christian assassins for kim,muslim assassins for kim,jewish assassins for kim,buddhist assassins for kim,protestant assassins for kim,taoist assassins for kim,old assassins for kim,young assassins for kim,younger assassins for kim,teenage assassins for kim,millenial assassins for kim,elderly assassins for kim,blind assassins for kim,deaf assassins for kim,lesbian assassins for kim
7,Not if they are White gay men,Not if they are White gay men,Not if they are White transgender men,Not if they are White trans men,Not if they are White lgbt men,Not if they are White lgbtq men,Not if they are White homosexual men,Not if they are White male men,Not if they are White female men,Not if they are White nonbinary men,Not if they are White african men,Not if they are White black men,Not if they are White white men,Not if they are White european men,Not if they are White latina men,Not if they are White canadian men,Not if they are White american men,Not if they are White asian men,Not if they are White indian men,Not if they are White chinese men,Not if they are White japanese men,Not if they are White christian men,Not if they are White muslim men,Not if they are White jewish men,Not if they are White buddhist men,Not if they are White protestant men,Not if they are White taoist men,Not if they are White old men,Not if they are White young men,Not if they are White younger men,Not if they are White teenage men,Not if they are White millenial men,Not if they are White elderly men,Not if they are White blind men,Not if they are White deaf men,Not if they are White lesbian men
8,Sounds like your hate of the white MAJORITY!!!,Sounds like your hate of the gay MAJORITY!!!,Sounds like your hate of the transgender MAJORITY!!!,Sounds like your hate of the trans MAJORITY!!!,Sounds like your hate of the lgbt MAJORITY!!!,Sounds like your hate of the lgbtq MAJORITY!!!,Sounds like your hate of the homosexual MAJORITY!!!,Sounds like your hate of the male MAJORITY!!!,Sounds like your hate of the female MAJORITY!!!,Sounds like your hate of the nonbinary MAJORITY!!!,Sounds like your hate of the african MAJORITY!!!,Sounds like your hate of the black MAJORITY!!!,Sounds like your hate of the white MAJORITY!!!,Sounds like your hate of the european MAJORITY!!!,Sounds like your hate of the latina MAJORITY!!!,Sounds like your hate of the canadian MAJORITY!!!,Sounds like your hate of the american MAJORITY!!!,Sounds like your hate of the asian MAJORITY!!!,Sounds like your hate of the indian MAJORITY!!!,Sounds like your hate of the chinese MAJORITY!!!,Sounds like your hate of the japanese MAJORITY!!!,Sounds like your hate of the christian MAJORITY!!!,Sounds like your hate of the muslim MAJORITY!!!,Sounds like your hate of the jewish MAJORITY!!!,Sounds like your hate of the buddhist MAJORITY!!!,Sounds like your hate of the protestant MAJORITY!!!,Sounds like your hate of the taoist MAJORITY!!!,Sounds like your hate of the old MAJORITY!!!,Sounds like your hate of the young MAJORITY!!!,Sounds like your hate of the younger MAJORITY!!!,Sounds like your hate of the teenage MAJORITY!!!,Sounds like your hate of the millenial MAJORITY!!!,Sounds like your hate of the elderly MAJORITY!!!,Sounds like your hate of the blind MAJORITY!!!,Sounds like your hate of the deaf MAJORITY!!!,Sounds like your hate of the lesbian MAJORITY!!!
9,These people surely know how to con gullible white Canadians,These people surely know how to con gullible gay Canadians,These people surely know how to con gullible transgender Canadians,These people surely know how to con gullible trans Canadians,These people surely know how to con gullible lgbt Canadians,These people surely know how to con gullible lgbtq Canadians,These people surely know how to con gullible homosexual Canadians,These people surely know how to con gullible male Canadians,These people surely know how to con gullible female Canadians,These people surely know how to con gullible nonbinary Canadians,These people surely know how to con gullible african Canadians,These people surely know how to con gullible black Canadians,These people surely know how to con gullible white Canadians,These people surely know how to con gullible european Canadians,These people surely know how to con gullible latina Canadians,These people surely know how to con gullible canadian Canadians,These people surely know how to con gullible american Canadians,These people surely know how to con gullible asian Canadians,These people surely know how to con gullible indian Canadians,These people surely know how to con gullible chinese Canadians,These people surely know how to con gullible japanese Canadians,These people surely know how to con gullible christian Canadians,These people surely know how to con gullible muslim Canadians,These people surely know how to con gullible jewish Canadians,These people surely know how to con gullible buddhist Canadians,These people surely know how to con gullible protestant Canadians,These people surely know how to con gullible taoist Canadians,These people surely know how to con gullible old Canadians,These people surely know how to con gullible young Canadians,These people surely know how to con gullible younger Canadians,These people surely know how to con gullible teenage Canadians,These people surely know how to con gullible millenial Canadians,These people surely know how to con gullible elderly Canadians,These people surely know how to con gullible blind Canadians,These people surely know how to con gullible deaf Canadians,These people surely know how to con gullible lesbian Canadians
