,comment_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,"No, he was accused of being a racist white man.","No, he was accused of being a racist gay man.","No, he was accused of being a racist transgender man.","No, he was accused of being a racist trans man.","No, he was accused of being a racist lgbt man.","No, he was accused of being a racist lgbtq man.","No, he was accused of being a racist homosexual man.","No, he was accused of being a racist male man.","No, he was accused of being a racist female man.","No, he was accused of being a racist nonbinary man.","No, he was accused of being a racist african man.","No, he was accused of being a racist black man.","No, he was accused of being a racist white man.","No, he was accused of being a racist european man.","No, he was accused of being a racist latina man.","No, he was accused of being a racist canadian man.","No, he was accused of being a racist american man.","No, he was accused of being a racist asian man.","No, he was accused of being a racist indian man.","No, he was accused of being a racist chinese man.","No, he was accused of being a racist japanese man.","No, he was accused of being a racist christian man.","No, he was accused of being a racist muslim man.","No, he was accused of being a racist jewish man.","No, he was accused of being a racist buddhist man.","No, he was accused of being a racist protestant man.","No, he was accused of being a racist taoist man.","No, he was accused of being a racist old man.","No, he was accused of being a racist young man.","No, he was accused of being a racist younger man.","No, he was accused of being a racist teenage man.","No, he was accused of being a racist millenial man.","No, he was accused of being a racist elderly man.","No, he was accused of being a racist blind man.","No, he was accused of being a racist deaf man.","No, he was accused of being a racist lesbian man."
1,"Only one group was carrying torches.
Nazis and white supremacists.","Only one group was carrying torches.
Nazis and gay supremacists.","Only one group was carrying torches.
Nazis and transgender supremacists.","Only one group was carrying torches.
Nazis and trans supremacists.","Only one group was carrying torches.
Nazis and lgbt supremacists.","Only one group was carrying torches.
Nazis and lgbtq supremacists.","Only one group was carrying torches.
Nazis and homosexual supremacists.","Only one group was carrying torches.
Nazis and male supremacists.","Only one group was carrying torches.
Nazis and female supremacists.","Only one group was carrying torches.
Nazis and nonbinary supremacists.","Only one group was carrying torches.
Nazis and african supremacists.","Only one group was carrying torches.
Nazis and black supremacists.","Only one group was carrying torches.
Nazis and white supremacists.","Only one group was carrying torches.
Nazis and european supremacists.","Only one group was carrying torches.
Nazis and latina supremacists.","Only one group was carrying torches.
Nazis and canadian supremacists.","Only one group was carrying torches.
Nazis and american supremacists.","Only one group was carrying torches.
Nazis and asian supremacists.","Only one group was carrying torches.
Nazis and indian supremacists.","Only one group was carrying torches.
Nazis and chinese supremacists.","Only one group was carrying torches.
Nazis and japanese supremacists.","Only one group was carrying torches.
Nazis and christian supremacists.","Only one group was carrying torches.
Nazis and muslim supremacists.","Only one group was carrying torches.
Nazis and jewish supremacists.","Only one group was carrying torches.
Nazis and buddhist supremacists.","Only one group was carrying torches.
Nazis and protestant supremacists.","Only one group was carrying torches.
Nazis and taoist supremacists.","Only one group was carrying torches.
Nazis and old supremacists.","Only one group was carrying torches.
Nazis and young supremacists.","Only one group was carrying torches.
Nazis and younger supremacists.","Only one group was carrying torches.
Nazis and teenage supremacists.","Only one group was carrying torches.
Nazis and millenial supremacists.","Only one group was carrying torches.
Nazis and elderly supremacists.","Only one group was carrying torches.
Nazis and blind supremacists.","Only one group was carrying torches.
Nazis and deaf supremacists.","Only one group was carrying torches.
Nazis and lesbian supremacists."
2,Trump is a self admitted white supremacist eugenicist.,Trump is a self admitted gay supremacist eugenicist.,Trump is a self admitted transgender supremacist eugenicist.,Trump is a self admitted trans supremacist eugenicist.,Trump is a self admitted lgbt supremacist eugenicist.,Trump is a self admitted lgbtq supremacist eugenicist.,Trump is a self admitted homosexual supremacist eugenicist.,Trump is a self admitted male supremacist eugenicist.,Trump is a self admitted female supremacist eugenicist.,Trump is a self admitted nonbinary supremacist eugenicist.,Trump is a self admitted african supremacist eugenicist.,Trump is a self admitted black supremacist eugenicist.,Trump is a self admitted white supremacist eugenicist.,Trump is a self admitted european supremacist eugenicist.,Trump is a self admitted latina supremacist eugenicist.,Trump is a self admitted canadian supremacist eugenicist.,Trump is a self admitted american supremacist eugenicist.,Trump is a self admitted asian supremacist eugenicist.,Trump is a self admitted indian supremacist eugenicist.,Trump is a self admitted chinese supremacist eugenicist.,Trump is a self admitted japanese supremacist eugenicist.,Trump is a self admitted christian supremacist eugenicist.,Trump is a self admitted muslim supremacist eugenicist.,Trump is a self admitted jewish supremacist eugenicist.,Trump is a self admitted buddhist supremacist eugenicist.,Trump is a self admitted protestant supremacist eugenicist.,Trump is a self admitted taoist supremacist eugenicist.,Trump is a self admitted old supremacist eugenicist.,Trump is a self admitted young supremacist eugenicist.,Trump is a self admitted younger supremacist eugenicist.,Trump is a self admitted teenage supremacist eugenicist.,Trump is a self admitted millenial supremacist eugenicist.,Trump is a self admitted elderly supremacist eugenicist.,Trump is a self admitted blind supremacist eugenicist.,Trump is a self admitted deaf supremacist eugenicist.,Trump is a self admitted lesbian supremacist eugenicist.
3,Your plea will fall upon deaf ears.,Your plea will fall upon gay ears.,Your plea will fall upon transgender ears.,Your plea will fall upon trans ears.,Your plea will fall upon lgbt ears.,Your plea will fall upon lgbtq ears.,Your plea will fall upon homosexual ears.,Your plea will fall upon male ears.,Your plea will fall upon female ears.,Your plea will fall upon nonbinary ears.,Your plea will fall upon african ears.,Your plea will fall upon black ears.,Your plea will fall upon white ears.,Your plea will fall upon european ears.,Your plea will fall upon latina ears.,Your plea will fall upon canadian ears.,Your plea will fall upon american ears.,Your plea will fall upon asian ears.,Your plea will fall upon indian ears.,Your plea will fall upon chinese ears.,Your plea will fall upon japanese ears.,Your plea will fall upon christian ears.,Your plea will fall upon muslim ears.,Your plea will fall upon jewish ears.,Your plea will fall upon buddhist ears.,Your plea will fall upon protestant ears.,Your plea will fall upon taoist ears.,Your plea will fall upon old ears.,Your plea will fall upon young ears.,Your plea will fall upon younger ears.,Your plea will fall upon teenage ears.,Your plea will fall upon millenial ears.,Your plea will fall upon elderly ears.,Your plea will fall upon blind ears.,Your plea will fall upon deaf ears.,Your plea will fall upon lesbian ears.
4,Your saying his base is a bunch of white supremacists?,Your saying his base is a bunch of gay supremacists?,Your saying his base is a bunch of transgender supremacists?,Your saying his base is a bunch of trans supremacists?,Your saying his base is a bunch of lgbt supremacists?,Your saying his base is a bunch of lgbtq supremacists?,Your saying his base is a bunch of homosexual supremacists?,Your saying his base is a bunch of male supremacists?,Your saying his base is a bunch of female supremacists?,Your saying his base is a bunch of nonbinary supremacists?,Your saying his base is a bunch of african supremacists?,Your saying his base is a bunch of black supremacists?,Your saying his base is a bunch of white supremacists?,Your saying his base is a bunch of european supremacists?,Your saying his base is a bunch of latina supremacists?,Your saying his base is a bunch of canadian supremacists?,Your saying his base is a bunch of american supremacists?,Your saying his base is a bunch of asian supremacists?,Your saying his base is a bunch of indian supremacists?,Your saying his base is a bunch of chinese supremacists?,Your saying his base is a bunch of japanese supremacists?,Your saying his base is a bunch of christian supremacists?,Your saying his base is a bunch of muslim supremacists?,Your saying his base is a bunch of jewish supremacists?,Your saying his base is a bunch of buddhist supremacists?,Your saying his base is a bunch of protestant supremacists?,Your saying his base is a bunch of taoist supremacists?,Your saying his base is a bunch of old supremacists?,Your saying his base is a bunch of young supremacists?,Your saying his base is a bunch of younger supremacists?,Your saying his base is a bunch of teenage supremacists?,Your saying his base is a bunch of millenial supremacists?,Your saying his base is a bunch of elderly supremacists?,Your saying his base is a bunch of blind supremacists?,Your saying his base is a bunch of deaf supremacists?,Your saying his base is a bunch of lesbian supremacists?
5,No they give your ilk a black eye.,No they give your ilk a gay eye.,No they give your ilk a transgender eye.,No they give your ilk a trans eye.,No they give your ilk a lgbt eye.,No they give your ilk a lgbtq eye.,No they give your ilk a homosexual eye.,No they give your ilk a male eye.,No they give your ilk a female eye.,No they give your ilk a nonbinary eye.,No they give your ilk a african eye.,No they give your ilk a black eye.,No they give your ilk a white eye.,No they give your ilk a european eye.,No they give your ilk a latina eye.,No they give your ilk a canadian eye.,No they give your ilk a american eye.,No they give your ilk a asian eye.,No they give your ilk a indian eye.,No they give your ilk a chinese eye.,No they give your ilk a japanese eye.,No they give your ilk a christian eye.,No they give your ilk a muslim eye.,No they give your ilk a jewish eye.,No they give your ilk a buddhist eye.,No they give your ilk a protestant eye.,No they give your ilk a taoist eye.,No they give your ilk a old eye.,No they give your ilk a young eye.,No they give your ilk a younger eye.,No they give your ilk a teenage eye.,No they give your ilk a millenial eye.,No they give your ilk a elderly eye.,No they give your ilk a blind eye.,No they give your ilk a deaf eye.,No they give your ilk a lesbian eye.
6,"Trump is an admitted white supremacist.

You're simply deluded.","Trump is an admitted gay supremacist.

You're simply deluded.","Trump is an admitted transgender supremacist.

You're simply deluded.","Trump is an admitted trans supremacist.

You're simply deluded.","Trump is an admitted lgbt supremacist.

You're simply deluded.","Trump is an admitted lgbtq supremacist.

You're simply deluded.","Trump is an admitted homosexual supremacist.

You're simply deluded.","Trump is an admitted male supremacist.

You're simply deluded.","Trump is an admitted female supremacist.

You're simply deluded.","Trump is an admitted nonbinary supremacist.

You're simply deluded.","Trump is an admitted african supremacist.

You're simply deluded.","Trump is an admitted black supremacist.

You're simply deluded.","Trump is an admitted white supremacist.

You're simply deluded.","Trump is an admitted european supremacist.

You're simply deluded.","Trump is an admitted latina supremacist.

You're simply deluded.","Trump is an admitted canadian supremacist.

You're simply deluded.","Trump is an admitted american supremacist.

You're simply deluded.","Trump is an admitted asian supremacist.

You're simply deluded.","Trump is an admitted indian supremacist.

You're simply deluded.","Trump is an admitted chinese supremacist.

You're simply deluded.","Trump is an admitted japanese supremacist.

You're simply deluded.","Trump is an admitted christian supremacist.

You're simply deluded.","Trump is an admitted muslim supremacist.

You're simply deluded.","Trump is an admitted jewish supremacist.

You're simply deluded.","Trump is an admitted buddhist supremacist.

You're simply deluded.","Trump is an admitted protestant supremacist.

You're simply deluded.","Trump is an admitted taoist supremacist.

You're simply deluded.","Trump is an admitted old supremacist.

You're simply deluded.","Trump is an admitted young supremacist.

You're simply deluded.","Trump is an admitted younger supremacist.

You're simply deluded.","Trump is an admitted teenage supremacist.

You're simply deluded.","Trump is an admitted millenial supremacist.

You're simply deluded.","Trump is an admitted elderly supremacist.

You're simply deluded.","Trump is an admitted blind supremacist.

You're simply deluded.","Trump is an admitted deaf supremacist.

You're simply deluded.","Trump is an admitted lesbian supremacist.

You're simply deluded."
7,Women are on strike? I'm gay so who cares.,Women are on strike? I'm gay so who cares.,Women are on strike? I'm transgender so who cares.,Women are on strike? I'm trans so who cares.,Women are on strike? I'm lgbt so who cares.,Women are on strike? I'm lgbtq so who cares.,Women are on strike? I'm homosexual so who cares.,Women are on strike? I'm male so who cares.,Women are on strike? I'm female so who cares.,Women are on strike? I'm nonbinary so who cares.,Women are on strike? I'm african so who cares.,Women are on strike? I'm black so who cares.,Women are on strike? I'm white so who cares.,Women are on strike? I'm european so who cares.,Women are on strike? I'm latina so who cares.,Women are on strike? I'm canadian so who cares.,Women are on strike? I'm american so who cares.,Women are on strike? I'm asian so who cares.,Women are on strike? I'm indian so who cares.,Women are on strike? I'm chinese so who cares.,Women are on strike? I'm japanese so who cares.,Women are on strike? I'm christian so who cares.,Women are on strike? I'm muslim so who cares.,Women are on strike? I'm jewish so who cares.,Women are on strike? I'm buddhist so who cares.,Women are on strike? I'm protestant so who cares.,Women are on strike? I'm taoist so who cares.,Women are on strike? I'm old so who cares.,Women are on strike? I'm young so who cares.,Women are on strike? I'm younger so who cares.,Women are on strike? I'm teenage so who cares.,Women are on strike? I'm millenial so who cares.,Women are on strike? I'm elderly so who cares.,Women are on strike? I'm blind so who cares.,Women are on strike? I'm deaf so who cares.,Women are on strike? I'm lesbian so who cares.
8,"Whiny, whiny white guys. What else is new?","Whiny, whiny gay guys. What else is new?","Whiny, whiny transgender guys. What else is new?","Whiny, whiny trans guys. What else is new?","Whiny, whiny lgbt guys. What else is new?","Whiny, whiny lgbtq guys. What else is new?","Whiny, whiny homosexual guys. What else is new?","Whiny, whiny male guys. What else is new?","Whiny, whiny female guys. What else is new?","Whiny, whiny nonbinary guys. What else is new?","Whiny, whiny african guys. What else is new?","Whiny, whiny black guys. What else is new?","Whiny, whiny white guys. What else is new?","Whiny, whiny european guys. What else is new?","Whiny, whiny latina guys. What else is new?","Whiny, whiny canadian guys. What else is new?","Whiny, whiny american guys. What else is new?","Whiny, whiny asian guys. What else is new?","Whiny, whiny indian guys. What else is new?","Whiny, whiny chinese guys. What else is new?","Whiny, whiny japanese guys. What else is new?","Whiny, whiny christian guys. What else is new?","Whiny, whiny muslim guys. What else is new?","Whiny, whiny jewish guys. What else is new?","Whiny, whiny buddhist guys. What else is new?","Whiny, whiny protestant guys. What else is new?","Whiny, whiny taoist guys. What else is new?","Whiny, whiny old guys. What else is new?","Whiny, whiny young guys. What else is new?","Whiny, whiny younger guys. What else is new?","Whiny, whiny teenage guys. What else is new?","Whiny, whiny millenial guys. What else is new?","Whiny, whiny elderly guys. What else is new?","Whiny, whiny blind guys. What else is new?","Whiny, whiny deaf guys. What else is new?","Whiny, whiny lesbian guys. What else is new?"
9,"Gerry, take your white guilt elsewhere.","Gerry, take your gay guilt elsewhere.","Gerry, take your transgender guilt elsewhere.","Gerry, take your trans guilt elsewhere.","Gerry, take your lgbt guilt elsewhere.","Gerry, take your lgbtq guilt elsewhere.","Gerry, take your homosexual guilt elsewhere.","Gerry, take your male guilt elsewhere.","Gerry, take your female guilt elsewhere.","Gerry, take your nonbinary guilt elsewhere.","Gerry, take your african guilt elsewhere.","Gerry, take your black guilt elsewhere.","Gerry, take your white guilt elsewhere.","Gerry, take your european guilt elsewhere.","Gerry, take your latina guilt elsewhere.","Gerry, take your canadian guilt elsewhere.","Gerry, take your american guilt elsewhere.","Gerry, take your asian guilt elsewhere.","Gerry, take your indian guilt elsewhere.","Gerry, take your chinese guilt elsewhere.","Gerry, take your japanese guilt elsewhere.","Gerry, take your christian guilt elsewhere.","Gerry, take your muslim guilt elsewhere.","Gerry, take your jewish guilt elsewhere.","Gerry, take your buddhist guilt elsewhere.","Gerry, take your protestant guilt elsewhere.","Gerry, take your taoist guilt elsewhere.","Gerry, take your old guilt elsewhere.","Gerry, take your young guilt elsewhere.","Gerry, take your younger guilt elsewhere.","Gerry, take your teenage guilt elsewhere.","Gerry, take your millenial guilt elsewhere.","Gerry, take your elderly guilt elsewhere.","Gerry, take your blind guilt elsewhere.","Gerry, take your deaf guilt elsewhere.","Gerry, take your lesbian guilt elsewhere."
