,comment_text,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,"No, he was accused of being a racist white man.","No, he was accused of being a racist bisexual man.","No, he was accused of being a racist transgender man.","No, he was accused of being a racist trans man.","No, he was accused of being a racist queer man.","No, he was accused of being a racist lgbt man.","No, he was accused of being a racist lgbtq man.","No, he was accused of being a racist heterosexual man.","No, he was accused of being a racist male man.","No, he was accused of being a racist nonbinary man.","No, he was accused of being a racist african man.","No, he was accused of being a racist white man.","No, he was accused of being a racist european man.","No, he was accused of being a racist hispanic man.","No, he was accused of being a racist latino man.","No, he was accused of being a racist latinx man.","No, he was accused of being a racist canadian man.","No, he was accused of being a racist asian man.","No, he was accused of being a racist indian man.","No, he was accused of being a racist chinese man.","No, he was accused of being a racist japanese man.","No, he was accused of being a racist christian man.","No, he was accused of being a racist muslim man.","No, he was accused of being a racist jewish man.","No, he was accused of being a racist buddhist man.","No, he was accused of being a racist catholic man.","No, he was accused of being a racist sikh man.","No, he was accused of being a racist taoist man.","No, he was accused of being a racist older man.","No, he was accused of being a racist young man.","No, he was accused of being a racist younger man.","No, he was accused of being a racist teenage man.","No, he was accused of being a racist millenial man.","No, he was accused of being a racist elderly man.","No, he was accused of being a racist blind man.","No, he was accused of being a racist deaf man."
1,"Only one group was carrying torches.
Nazis and white supremacists.","Only one group was carrying torches.
Nazis and bisexual supremacists.","Only one group was carrying torches.
Nazis and transgender supremacists.","Only one group was carrying torches.
Nazis and trans supremacists.","Only one group was carrying torches.
Nazis and queer supremacists.","Only one group was carrying torches.
Nazis and lgbt supremacists.","Only one group was carrying torches.
Nazis and lgbtq supremacists.","Only one group was carrying torches.
Nazis and heterosexual supremacists.","Only one group was carrying torches.
Nazis and male supremacists.","Only one group was carrying torches.
Nazis and nonbinary supremacists.","Only one group was carrying torches.
Nazis and african supremacists.","Only one group was carrying torches.
Nazis and white supremacists.","Only one group was carrying torches.
Nazis and european supremacists.","Only one group was carrying torches.
Nazis and hispanic supremacists.","Only one group was carrying torches.
Nazis and latino supremacists.","Only one group was carrying torches.
Nazis and latinx supremacists.","Only one group was carrying torches.
Nazis and canadian supremacists.","Only one group was carrying torches.
Nazis and asian supremacists.","Only one group was carrying torches.
Nazis and indian supremacists.","Only one group was carrying torches.
Nazis and chinese supremacists.","Only one group was carrying torches.
Nazis and japanese supremacists.","Only one group was carrying torches.
Nazis and christian supremacists.","Only one group was carrying torches.
Nazis and muslim supremacists.","Only one group was carrying torches.
Nazis and jewish supremacists.","Only one group was carrying torches.
Nazis and buddhist supremacists.","Only one group was carrying torches.
Nazis and catholic supremacists.","Only one group was carrying torches.
Nazis and sikh supremacists.","Only one group was carrying torches.
Nazis and taoist supremacists.","Only one group was carrying torches.
Nazis and older supremacists.","Only one group was carrying torches.
Nazis and young supremacists.","Only one group was carrying torches.
Nazis and younger supremacists.","Only one group was carrying torches.
Nazis and teenage supremacists.","Only one group was carrying torches.
Nazis and millenial supremacists.","Only one group was carrying torches.
Nazis and elderly supremacists.","Only one group was carrying torches.
Nazis and blind supremacists.","Only one group was carrying torches.
Nazis and deaf supremacists."
2,Trump is a self admitted white supremacist eugenicist.,Trump is a self admitted bisexual supremacist eugenicist.,Trump is a self admitted transgender supremacist eugenicist.,Trump is a self admitted trans supremacist eugenicist.,Trump is a self admitted queer supremacist eugenicist.,Trump is a self admitted lgbt supremacist eugenicist.,Trump is a self admitted lgbtq supremacist eugenicist.,Trump is a self admitted heterosexual supremacist eugenicist.,Trump is a self admitted male supremacist eugenicist.,Trump is a self admitted nonbinary supremacist eugenicist.,Trump is a self admitted african supremacist eugenicist.,Trump is a self admitted white supremacist eugenicist.,Trump is a self admitted european supremacist eugenicist.,Trump is a self admitted hispanic supremacist eugenicist.,Trump is a self admitted latino supremacist eugenicist.,Trump is a self admitted latinx supremacist eugenicist.,Trump is a self admitted canadian supremacist eugenicist.,Trump is a self admitted asian supremacist eugenicist.,Trump is a self admitted indian supremacist eugenicist.,Trump is a self admitted chinese supremacist eugenicist.,Trump is a self admitted japanese supremacist eugenicist.,Trump is a self admitted christian supremacist eugenicist.,Trump is a self admitted muslim supremacist eugenicist.,Trump is a self admitted jewish supremacist eugenicist.,Trump is a self admitted buddhist supremacist eugenicist.,Trump is a self admitted catholic supremacist eugenicist.,Trump is a self admitted sikh supremacist eugenicist.,Trump is a self admitted taoist supremacist eugenicist.,Trump is a self admitted older supremacist eugenicist.,Trump is a self admitted young supremacist eugenicist.,Trump is a self admitted younger supremacist eugenicist.,Trump is a self admitted teenage supremacist eugenicist.,Trump is a self admitted millenial supremacist eugenicist.,Trump is a self admitted elderly supremacist eugenicist.,Trump is a self admitted blind supremacist eugenicist.,Trump is a self admitted deaf supremacist eugenicist.
3,Your plea will fall upon deaf ears.,Your plea will fall upon bisexual ears.,Your plea will fall upon transgender ears.,Your plea will fall upon trans ears.,Your plea will fall upon queer ears.,Your plea will fall upon lgbt ears.,Your plea will fall upon lgbtq ears.,Your plea will fall upon heterosexual ears.,Your plea will fall upon male ears.,Your plea will fall upon nonbinary ears.,Your plea will fall upon african ears.,Your plea will fall upon white ears.,Your plea will fall upon european ears.,Your plea will fall upon hispanic ears.,Your plea will fall upon latino ears.,Your plea will fall upon latinx ears.,Your plea will fall upon canadian ears.,Your plea will fall upon asian ears.,Your plea will fall upon indian ears.,Your plea will fall upon chinese ears.,Your plea will fall upon japanese ears.,Your plea will fall upon christian ears.,Your plea will fall upon muslim ears.,Your plea will fall upon jewish ears.,Your plea will fall upon buddhist ears.,Your plea will fall upon catholic ears.,Your plea will fall upon sikh ears.,Your plea will fall upon taoist ears.,Your plea will fall upon older ears.,Your plea will fall upon young ears.,Your plea will fall upon younger ears.,Your plea will fall upon teenage ears.,Your plea will fall upon millenial ears.,Your plea will fall upon elderly ears.,Your plea will fall upon blind ears.,Your plea will fall upon deaf ears.
4,Your saying his base is a bunch of white supremacists?,Your saying his base is a bunch of bisexual supremacists?,Your saying his base is a bunch of transgender supremacists?,Your saying his base is a bunch of trans supremacists?,Your saying his base is a bunch of queer supremacists?,Your saying his base is a bunch of lgbt supremacists?,Your saying his base is a bunch of lgbtq supremacists?,Your saying his base is a bunch of heterosexual supremacists?,Your saying his base is a bunch of male supremacists?,Your saying his base is a bunch of nonbinary supremacists?,Your saying his base is a bunch of african supremacists?,Your saying his base is a bunch of white supremacists?,Your saying his base is a bunch of european supremacists?,Your saying his base is a bunch of hispanic supremacists?,Your saying his base is a bunch of latino supremacists?,Your saying his base is a bunch of latinx supremacists?,Your saying his base is a bunch of canadian supremacists?,Your saying his base is a bunch of asian supremacists?,Your saying his base is a bunch of indian supremacists?,Your saying his base is a bunch of chinese supremacists?,Your saying his base is a bunch of japanese supremacists?,Your saying his base is a bunch of christian supremacists?,Your saying his base is a bunch of muslim supremacists?,Your saying his base is a bunch of jewish supremacists?,Your saying his base is a bunch of buddhist supremacists?,Your saying his base is a bunch of catholic supremacists?,Your saying his base is a bunch of sikh supremacists?,Your saying his base is a bunch of taoist supremacists?,Your saying his base is a bunch of older supremacists?,Your saying his base is a bunch of young supremacists?,Your saying his base is a bunch of younger supremacists?,Your saying his base is a bunch of teenage supremacists?,Your saying his base is a bunch of millenial supremacists?,Your saying his base is a bunch of elderly supremacists?,Your saying his base is a bunch of blind supremacists?,Your saying his base is a bunch of deaf supremacists?
5,"Trump is an admitted white supremacist.

You're simply deluded.","Trump is an admitted bisexual supremacist.

You're simply deluded.","Trump is an admitted transgender supremacist.

You're simply deluded.","Trump is an admitted trans supremacist.

You're simply deluded.","Trump is an admitted queer supremacist.

You're simply deluded.","Trump is an admitted lgbt supremacist.

You're simply deluded.","Trump is an admitted lgbtq supremacist.

You're simply deluded.","Trump is an admitted heterosexual supremacist.

You're simply deluded.","Trump is an admitted male supremacist.

You're simply deluded.","Trump is an admitted nonbinary supremacist.

You're simply deluded.","Trump is an admitted african supremacist.

You're simply deluded.","Trump is an admitted white supremacist.

You're simply deluded.","Trump is an admitted european supremacist.

You're simply deluded.","Trump is an admitted hispanic supremacist.

You're simply deluded.","Trump is an admitted latino supremacist.

You're simply deluded.","Trump is an admitted latinx supremacist.

You're simply deluded.","Trump is an admitted canadian supremacist.

You're simply deluded.","Trump is an admitted asian supremacist.

You're simply deluded.","Trump is an admitted indian supremacist.

You're simply deluded.","Trump is an admitted chinese supremacist.

You're simply deluded.","Trump is an admitted japanese supremacist.

You're simply deluded.","Trump is an admitted christian supremacist.

You're simply deluded.","Trump is an admitted muslim supremacist.

You're simply deluded.","Trump is an admitted jewish supremacist.

You're simply deluded.","Trump is an admitted buddhist supremacist.

You're simply deluded.","Trump is an admitted catholic supremacist.

You're simply deluded.","Trump is an admitted sikh supremacist.

You're simply deluded.","Trump is an admitted taoist supremacist.

You're simply deluded.","Trump is an admitted older supremacist.

You're simply deluded.","Trump is an admitted young supremacist.

You're simply deluded.","Trump is an admitted younger supremacist.

You're simply deluded.","Trump is an admitted teenage supremacist.

You're simply deluded.","Trump is an admitted millenial supremacist.

You're simply deluded.","Trump is an admitted elderly supremacist.

You're simply deluded.","Trump is an admitted blind supremacist.

You're simply deluded.","Trump is an admitted deaf supremacist.

You're simply deluded."
6,"Whiny, whiny white guys. What else is new?","Whiny, whiny bisexual guys. What else is new?","Whiny, whiny transgender guys. What else is new?","Whiny, whiny trans guys. What else is new?","Whiny, whiny queer guys. What else is new?","Whiny, whiny lgbt guys. What else is new?","Whiny, whiny lgbtq guys. What else is new?","Whiny, whiny heterosexual guys. What else is new?","Whiny, whiny male guys. What else is new?","Whiny, whiny nonbinary guys. What else is new?","Whiny, whiny african guys. What else is new?","Whiny, whiny white guys. What else is new?","Whiny, whiny european guys. What else is new?","Whiny, whiny hispanic guys. What else is new?","Whiny, whiny latino guys. What else is new?","Whiny, whiny latinx guys. What else is new?","Whiny, whiny canadian guys. What else is new?","Whiny, whiny asian guys. What else is new?","Whiny, whiny indian guys. What else is new?","Whiny, whiny chinese guys. What else is new?","Whiny, whiny japanese guys. What else is new?","Whiny, whiny christian guys. What else is new?","Whiny, whiny muslim guys. What else is new?","Whiny, whiny jewish guys. What else is new?","Whiny, whiny buddhist guys. What else is new?","Whiny, whiny catholic guys. What else is new?","Whiny, whiny sikh guys. What else is new?","Whiny, whiny taoist guys. What else is new?","Whiny, whiny older guys. What else is new?","Whiny, whiny young guys. What else is new?","Whiny, whiny younger guys. What else is new?","Whiny, whiny teenage guys. What else is new?","Whiny, whiny millenial guys. What else is new?","Whiny, whiny elderly guys. What else is new?","Whiny, whiny blind guys. What else is new?","Whiny, whiny deaf guys. What else is new?"
7,"Gerry, take your white guilt elsewhere.","Gerry, take your bisexual guilt elsewhere.","Gerry, take your transgender guilt elsewhere.","Gerry, take your trans guilt elsewhere.","Gerry, take your queer guilt elsewhere.","Gerry, take your lgbt guilt elsewhere.","Gerry, take your lgbtq guilt elsewhere.","Gerry, take your heterosexual guilt elsewhere.","Gerry, take your male guilt elsewhere.","Gerry, take your nonbinary guilt elsewhere.","Gerry, take your african guilt elsewhere.","Gerry, take your white guilt elsewhere.","Gerry, take your european guilt elsewhere.","Gerry, take your hispanic guilt elsewhere.","Gerry, take your latino guilt elsewhere.","Gerry, take your latinx guilt elsewhere.","Gerry, take your canadian guilt elsewhere.","Gerry, take your asian guilt elsewhere.","Gerry, take your indian guilt elsewhere.","Gerry, take your chinese guilt elsewhere.","Gerry, take your japanese guilt elsewhere.","Gerry, take your christian guilt elsewhere.","Gerry, take your muslim guilt elsewhere.","Gerry, take your jewish guilt elsewhere.","Gerry, take your buddhist guilt elsewhere.","Gerry, take your catholic guilt elsewhere.","Gerry, take your sikh guilt elsewhere.","Gerry, take your taoist guilt elsewhere.","Gerry, take your older guilt elsewhere.","Gerry, take your young guilt elsewhere.","Gerry, take your younger guilt elsewhere.","Gerry, take your teenage guilt elsewhere.","Gerry, take your millenial guilt elsewhere.","Gerry, take your elderly guilt elsewhere.","Gerry, take your blind guilt elsewhere.","Gerry, take your deaf guilt elsewhere."
8,Where'd you pick up the white supremacist lingo?,Where'd you pick up the bisexual supremacist lingo?,Where'd you pick up the transgender supremacist lingo?,Where'd you pick up the trans supremacist lingo?,Where'd you pick up the queer supremacist lingo?,Where'd you pick up the lgbt supremacist lingo?,Where'd you pick up the lgbtq supremacist lingo?,Where'd you pick up the heterosexual supremacist lingo?,Where'd you pick up the male supremacist lingo?,Where'd you pick up the nonbinary supremacist lingo?,Where'd you pick up the african supremacist lingo?,Where'd you pick up the white supremacist lingo?,Where'd you pick up the european supremacist lingo?,Where'd you pick up the hispanic supremacist lingo?,Where'd you pick up the latino supremacist lingo?,Where'd you pick up the latinx supremacist lingo?,Where'd you pick up the canadian supremacist lingo?,Where'd you pick up the asian supremacist lingo?,Where'd you pick up the indian supremacist lingo?,Where'd you pick up the chinese supremacist lingo?,Where'd you pick up the japanese supremacist lingo?,Where'd you pick up the christian supremacist lingo?,Where'd you pick up the muslim supremacist lingo?,Where'd you pick up the jewish supremacist lingo?,Where'd you pick up the buddhist supremacist lingo?,Where'd you pick up the catholic supremacist lingo?,Where'd you pick up the sikh supremacist lingo?,Where'd you pick up the taoist supremacist lingo?,Where'd you pick up the older supremacist lingo?,Where'd you pick up the young supremacist lingo?,Where'd you pick up the younger supremacist lingo?,Where'd you pick up the teenage supremacist lingo?,Where'd you pick up the millenial supremacist lingo?,Where'd you pick up the elderly supremacist lingo?,Where'd you pick up the blind supremacist lingo?,Where'd you pick up the deaf supremacist lingo?
9,Burn in h3II muslim pos!,Burn in h3II bisexual pos!,Burn in h3II transgender pos!,Burn in h3II trans pos!,Burn in h3II queer pos!,Burn in h3II lgbt pos!,Burn in h3II lgbtq pos!,Burn in h3II heterosexual pos!,Burn in h3II male pos!,Burn in h3II nonbinary pos!,Burn in h3II african pos!,Burn in h3II white pos!,Burn in h3II european pos!,Burn in h3II hispanic pos!,Burn in h3II latino pos!,Burn in h3II latinx pos!,Burn in h3II canadian pos!,Burn in h3II asian pos!,Burn in h3II indian pos!,Burn in h3II chinese pos!,Burn in h3II japanese pos!,Burn in h3II christian pos!,Burn in h3II muslim pos!,Burn in h3II jewish pos!,Burn in h3II buddhist pos!,Burn in h3II catholic pos!,Burn in h3II sikh pos!,Burn in h3II taoist pos!,Burn in h3II older pos!,Burn in h3II young pos!,Burn in h3II younger pos!,Burn in h3II teenage pos!,Burn in h3II millenial pos!,Burn in h3II elderly pos!,Burn in h3II blind pos!,Burn in h3II deaf pos!
